Ticket ID,latent_problem_id,had_context,true_category
MU-104538,ACC-PWD-RESET,No,Account & Access Management
MU-100404,ACC-PWD-RESET,Yes,Account & Access Management
MU-103985,SIS-TRANSCRIPT,Yes,Student Information System
MU-102373,LMS-UPLOAD,Yes,Learning Management System
MU-102403,ACC-PWD-RESET,No,Account & Access Management
MU-103519,NET-WIFI-NOCONN,No,Network & Connectivity
MU-100175,ACC-PWD-RESET,No,Account & Access Management
MU-101939,HW-PC-SLOW,Yes,Hardware & Equipment
MU-101938,ACC-PERMS,No,Account & Access Management
MU-103733,NET-WIFI-NOCONN,Yes,Network & Connectivity
MU-102547,NET-WIFI-NOCONN,No,Network & Connectivity
MU-104698,LMS-UPLOAD,Yes,Learning Management System
MU-102889,SIS-TRANSCRIPT,Yes,Student Information System
MU-103504,NET-WIFI-NOCONN,Yes,Network & Connectivity
MU-100911,EML-MAILBOX-FULL,Yes,Email & Collaboration
MU-101273,NET-WIFI-NOCONN,No,Network & Connectivity
MU-104444,LMS-COURSE-MISSING,Yes,Learning Management System
MU-103895,HW-PC-SLOW,No,Hardware & Equipment
MU-103954,SIS-PORTAL-SLOW,No,Student Information System
MU-100189,SIS-FEE,Yes,Student Information System
MU-101500,SIS-REG,No,Student Information System
MU-100008,SIS-REG,No,Student Information System
MU-100267,NET-WIFI-NOCONN,Yes,Network & Connectivity
MU-102867,SIS-PORTAL-SLOW,Yes,Student Information System
MU-103296,HW-PRINTER,Yes,Hardware & Equipment
MU-104675,NET-SLOW,Yes,Network & Connectivity
MU-101029,LMS-LOGIN,Yes,Learning Management System
MU-102353,EML-MAILBOX-FULL,Yes,Email & Collaboration
MU-102361,NET-WIFI-NOCONN,Yes,Network & Connectivity
MU-104866,NET-SLOW,No,Network & Connectivity
MU-102511,SIS-TRANSCRIPT,Yes,Student Information System
MU-100492,ACC-PWD-RESET,Yes,Account & Access Management
MU-104220,EML-MEETING,No,Email & Collaboration
MU-102406,LMS-COURSE-MISSING,Yes,Learning Management System
MU-100550,HW-PC-SLOW,Yes,Hardware & Equipment
MU-101953,NET-WIFI-NOCONN,Yes,Network & Connectivity
MU-101312,HW-PRINTER,No,Hardware & Equipment
MU-100702,SIS-REG,Yes,Student Information System
MU-101485,EML-SEND-FAIL,No,Email & Collaboration
MU-101933,NET-LAN-PORT,Yes,Network & Connectivity
MU-102249,ACC-LOCKED,No,Account & Access Management
MU-103774,APP-INSTALL,No,Application Support
MU-101203,HW-PC-SLOW,Yes,Hardware & Equipment
MU-103672,SIS-REG,Yes,Student Information System
MU-104277,HW-PC-NOBOOT,No,Hardware & Equipment
MU-102819,NET-SLOW,No,Network & Connectivity
MU-102742,EML-MEETING,Yes,Email & Collaboration
MU-100843,APP-LICENCE,Yes,Application Support
MU-103316,NET-WIFI-NOCONN,Yes,Network & Connectivity
MU-101409,NET-WIFI-NOCONN,No,Network & Connectivity
MU-104250,ACC-PWD-RESET,Yes,Account & Access Management
MU-103354,NET-SLOW,Yes,Network & Connectivity
MU-103631,HW-PERIPHERAL,Yes,Hardware & Equipment
MU-103765,NET-WIFI-NOCONN,No,Network & Connectivity
MU-102831,NET-LAN-PORT,No,Network & Connectivity
MU-100782,ACC-LOCKED,No,Account & Access Management
MU-100557,NET-SLOW,Yes,Network & Connectivity
MU-104543,HW-PRINTER,No,Hardware & Equipment
MU-104048,LMS-QUIZ,No,Learning Management System
MU-100503,SIS-REG,Yes,Student Information System
MU-104507,ACC-NEW,No,Account & Access Management
MU-100547,ACC-PWD-RESET,Yes,Account & Access Management
MU-103095,APP-INSTALL,Yes,Application Support
MU-104588,SIS-REG,Yes,Student Information System
MU-101535,LMS-COURSE-MISSING,Yes,Learning Management System
MU-100873,NET-SLOW,Yes,Network & Connectivity
MU-101693,HW-PRINTER,Yes,Hardware & Equipment
MU-104178,HW-PRINTER,Yes,Hardware & Equipment
MU-101563,APP-INSTALL,Yes,Application Support
MU-101949,LMS-COURSE-MISSING,No,Learning Management System
MU-103230,ACC-PWD-RESET,No,Account & Access Management
MU-102063,LMS-LOGIN,Yes,Learning Management System
MU-100223,HW-PERIPHERAL,Yes,Hardware & Equipment
MU-100866,NET-SLOW,Yes,Network & Connectivity
MU-103129,HW-PERIPHERAL,No,Hardware & Equipment
MU-104039,ACC-PWD-RESET,No,Account & Access Management
MU-100316,EML-SEND-FAIL,Yes,Email & Collaboration
MU-101131,HW-PC-NOBOOT,Yes,Hardware & Equipment
MU-102558,APP-LICENCE,Yes,Application Support
MU-103278,NET-SLOW,No,Network & Connectivity
MU-104480,HW-PC-SLOW,No,Hardware & Equipment
MU-100518,SIS-FEE,Yes,Student Information System
MU-101784,HW-PC-NOBOOT,Yes,Hardware & Equipment
MU-102212,EML-SEND-FAIL,Yes,Email & Collaboration
MU-101208,NET-LAN-PORT,Yes,Network & Connectivity
MU-103061,NET-SLOW,Yes,Network & Connectivity
MU-101867,ACC-PWD-RESET,Yes,Account & Access Management
MU-101320,ACC-PWD-RESET,No,Account & Access Management
MU-102685,HW-PC-SLOW,No,Hardware & Equipment
MU-100174,ACC-NEW,No,Account & Access Management
MU-102985,NET-SLOW,Yes,Network & Connectivity
MU-100861,SIS-PORTAL-SLOW,Yes,Student Information System
MU-102811,SIS-FEE,Yes,Student Information System
MU-103740,ACC-PWD-RESET,No,Account & Access Management
MU-102948,NET-SLOW,Yes,Network & Connectivity
MU-100600,LMS-LOGIN,Yes,Learning Management System
MU-100502,ACC-PWD-RESET,No,Account & Access Management
MU-103668,LMS-LOGIN,Yes,Learning Management System
MU-104018,APP-INSTALL,Yes,Application Support
MU-104362,LMS-LOGIN,No,Learning Management System
MU-103443,HW-PC-SLOW,Yes,Hardware & Equipment
MU-101062,HW-PRINTER,Yes,Hardware & Equipment
MU-104328,NET-LAN-PORT,Yes,Network & Connectivity
MU-103523,SIS-PORTAL-SLOW,Yes,Student Information System
MU-103591,LMS-QUIZ,No,Learning Management System
MU-101777,HW-PROJECTOR,Yes,Hardware & Equipment
MU-102157,EML-SEND-FAIL,Yes,Email & Collaboration
MU-103005,APP-ERP,Yes,Application Support
MU-102528,NET-WIFI-NOCONN,Yes,Network & Connectivity
MU-101747,ACC-NEW,No,Account & Access Management
MU-100018,NET-WIFI-NOCONN,Yes,Network & Connectivity
MU-103369,NET-WIFI-NOCONN,Yes,Network & Connectivity
MU-103923,LMS-COURSE-MISSING,Yes,Learning Management System
MU-104422,SIS-PORTAL-SLOW,No,Student Information System
MU-104161,LMS-QUIZ,Yes,Learning Management System
MU-102303,HW-PC-NOBOOT,Yes,Hardware & Equipment
MU-100056,ACC-PERMS,Yes,Account & Access Management
MU-101749,NET-SLOW,Yes,Network & Connectivity
MU-100929,NET-LAN-PORT,No,Network & Connectivity
MU-101165,LMS-COURSE-MISSING,Yes,Learning Management System
MU-100684,HW-PRINTER,Yes,Hardware & Equipment
MU-100463,HW-PRINTER,Yes,Hardware & Equipment
MU-103389,ACC-PWD-RESET,Yes,Account & Access Management
MU-104785,HW-PC-SLOW,Yes,Hardware & Equipment
MU-101246,LMS-LOGIN,No,Learning Management System
MU-101553,NET-WIFI-NOCONN,No,Network & Connectivity
MU-103195,HW-PRINTER,No,Hardware & Equipment
MU-101677,ACC-LOCKED,No,Account & Access Management
MU-103143,HW-PROJECTOR,Yes,Hardware & Equipment
MU-103455,NET-LAN-PORT,Yes,Network & Connectivity
MU-102029,LMS-UPLOAD,Yes,Learning Management System
MU-101230,ACC-PWD-RESET,No,Account & Access Management
MU-102636,ACC-PWD-RESET,Yes,Account & Access Management
MU-102183,SIS-FEE,Yes,Student Information System
MU-103744,ACC-LOCKED,Yes,Account & Access Management
MU-104187,HW-PC-NOBOOT,Yes,Hardware & Equipment
MU-100124,LMS-LOGIN,Yes,Learning Management System
MU-102877,SIS-REG,Yes,Student Information System
MU-101347,SIS-FEE,Yes,Student Information System
MU-100285,NET-SLOW,Yes,Network & Connectivity
MU-103806,HW-PC-NOBOOT,No,Hardware & Equipment
MU-102422,EML-MAILBOX-FULL,Yes,Email & Collaboration
MU-104884,ACC-PERMS,No,Account & Access Management
MU-102169,NET-LAN-PORT,Yes,Network & Connectivity
MU-104075,HW-PC-SLOW,Yes,Hardware & Equipment
MU-102799,SIS-REG,No,Student Information System
MU-100014,NET-SLOW,Yes,Network & Connectivity
MU-104244,HW-PC-SLOW,No,Hardware & Equipment
MU-102363,NET-VPN,No,Network & Connectivity
MU-104895,APP-LICENCE,Yes,Application Support
MU-100111,NET-LAN-PORT,No,Network & Connectivity
MU-104114,HW-PERIPHERAL,Yes,Hardware & Equipment
MU-101737,HW-PC-NOBOOT,Yes,Hardware & Equipment
MU-100246,NET-WIFI-NOCONN,No,Network & Connectivity
MU-101299,NET-SLOW,No,Network & Connectivity
MU-104631,HW-PRINTER,No,Hardware & Equipment
MU-102896,ACC-PWD-RESET,No,Account & Access Management
MU-103370,SIS-REG,Yes,Student Information System
MU-100811,ACC-NEW,No,Account & Access Management
MU-104778,NET-SLOW,No,Network & Connectivity
MU-104456,ACC-PWD-RESET,No,Account & Access Management
MU-100306,NET-SLOW,No,Network & Connectivity
MU-101722,HW-PC-SLOW,No,Hardware & Equipment
MU-103815,SIS-REG,No,Student Information System
MU-103676,ACC-PWD-RESET,Yes,Account & Access Management
MU-101947,EML-MEETING,Yes,Email & Collaboration
MU-100640,EML-SEND-FAIL,No,Email & Collaboration
MU-100849,EML-SEND-FAIL,No,Email & Collaboration
MU-102930,APP-ERP,Yes,Application Support
MU-104740,LMS-QUIZ,No,Learning Management System
MU-104868,NET-SLOW,Yes,Network & Connectivity
MU-101761,NET-SLOW,Yes,Network & Connectivity
MU-103527,SIS-REG,No,Student Information System
MU-102498,HW-PRINTER,Yes,Hardware & Equipment
MU-104492,SIS-REG,Yes,Student Information System
MU-100939,ACC-PWD-RESET,No,Account & Access Management
MU-102085,APP-INSTALL,No,Application Support
MU-103620,LMS-UPLOAD,Yes,Learning Management System
MU-104751,ACC-PWD-RESET,Yes,Account & Access Management
MU-101117,APP-INSTALL,No,Application Support
MU-100094,ACC-PWD-RESET,Yes,Account & Access Management
MU-103768,SIS-FEE,No,Student Information System
MU-104653,SIS-REG,Yes,Student Information System
MU-103104,LMS-QUIZ,Yes,Learning Management System
MU-103328,SIS-REG,Yes,Student Information System
MU-102479,SIS-PORTAL-SLOW,Yes,Student Information System
MU-100374,NET-WIFI-NOCONN,No,Network & Connectivity
MU-103823,HW-PC-NOBOOT,No,Hardware & Equipment
MU-102931,LMS-COURSE-MISSING,No,Learning Management System
MU-102983,ACC-PWD-RESET,Yes,Account & Access Management
MU-104728,HW-PRINTER,Yes,Hardware & Equipment
MU-104875,HW-PC-NOBOOT,No,Hardware & Equipment
MU-101754,SIS-TRANSCRIPT,Yes,Student Information System
MU-101883,ACC-PWD-RESET,Yes,Account & Access Management
MU-102500,ACC-PWD-RESET,No,Account & Access Management
MU-104688,NET-WIFI-NOCONN,No,Network & Connectivity
MU-104316,ACC-PERMS,Yes,Account & Access Management
MU-100940,EML-MEETING,Yes,Email & Collaboration
MU-104008,NET-WIFI-NOCONN,Yes,Network & Connectivity
MU-101437,LMS-LOGIN,No,Learning Management System
MU-104051,LMS-COURSE-MISSING,Yes,Learning Management System
MU-104825,LMS-LOGIN,Yes,Learning Management System
MU-101053,HW-PROJECTOR,Yes,Hardware & Equipment
MU-102251,LMS-COURSE-MISSING,Yes,Learning Management System
MU-104090,SIS-FEE,No,Student Information System
MU-102199,NET-WIFI-NOCONN,Yes,Network & Connectivity
MU-103737,NET-WIFI-NOCONN,Yes,Network & Connectivity
MU-104564,HW-PRINTER,Yes,Hardware & Equipment
MU-100738,SIS-TRANSCRIPT,Yes,Student Information System
MU-101845,LMS-COURSE-MISSING,No,Learning Management System
MU-102639,EML-MAILBOX-FULL,Yes,Email & Collaboration
MU-102873,HW-PRINTER,No,Hardware & Equipment
MU-102575,NET-SLOW,Yes,Network & Connectivity
MU-101844,APP-ERP,Yes,Application Support
MU-102883,LMS-COURSE-MISSING,No,Learning Management System
MU-104029,ACC-PWD-RESET,Yes,Account & Access Management
MU-102050,APP-INSTALL,Yes,Application Support
MU-103771,NET-WIFI-NOCONN,No,Network & Connectivity
MU-101070,ACC-PWD-RESET,Yes,Account & Access Management
MU-103529,ACC-NEW,Yes,Account & Access Management
MU-104839,LMS-LOGIN,No,Learning Management System
MU-101316,APP-PRINT-SW,No,Application Support
MU-104586,SIS-PORTAL-SLOW,Yes,Student Information System
MU-104505,APP-LICENCE,Yes,Application Support
MU-104576,EML-SEND-FAIL,Yes,Email & Collaboration
MU-100229,EML-MAILBOX-FULL,Yes,Email & Collaboration
MU-101231,SIS-FEE,No,Student Information System
MU-104207,ACC-PERMS,Yes,Account & Access Management
MU-103828,NET-SLOW,No,Network & Connectivity
MU-100933,EML-SEND-FAIL,No,Email & Collaboration
MU-102623,EML-SEND-FAIL,No,Email & Collaboration
MU-101224,NET-WIFI-NOCONN,Yes,Network & Connectivity
MU-103693,APP-LICENCE,Yes,Application Support
MU-101945,ACC-PWD-RESET,No,Account & Access Management
MU-101774,LMS-QUIZ,Yes,Learning Management System
MU-103287,EML-MAILBOX-FULL,Yes,Email & Collaboration
MU-101002,EML-MAILBOX-FULL,No,Email & Collaboration
MU-100273,ACC-NEW,Yes,Account & Access Management
MU-103551,ACC-PWD-RESET,Yes,Account & Access Management
MU-104840,ACC-PWD-RESET,No,Account & Access Management
MU-103276,ACC-PWD-RESET,Yes,Account & Access Management
MU-100431,HW-PRINTER,No,Hardware & Equipment
MU-100461,NET-VPN,Yes,Network & Connectivity
MU-103408,HW-PERIPHERAL,Yes,Hardware & Equipment
MU-101987,ACC-PWD-RESET,Yes,Account & Access Management
MU-102923,NET-LAN-PORT,Yes,Network & Connectivity
MU-103080,LMS-LOGIN,Yes,Learning Management System
MU-103355,LMS-COURSE-MISSING,Yes,Learning Management System
MU-101302,NET-WIFI-NOCONN,Yes,Network & Connectivity
MU-101642,SIS-TRANSCRIPT,Yes,Student Information System
MU-103788,ACC-PWD-RESET,Yes,Account & Access Management
MU-100126,ACC-PWD-RESET,Yes,Account & Access Management
MU-104477,APP-INSTALL,No,Application Support
MU-104143,APP-INSTALL,Yes,Application Support
MU-100978,ACC-PWD-RESET,No,Account & Access Management
MU-102127,APP-INSTALL,No,Application Support
MU-104278,SIS-PORTAL-SLOW,No,Student Information System
MU-101444,NET-SLOW,No,Network & Connectivity
MU-104235,NET-SLOW,Yes,Network & Connectivity
MU-103083,NET-LAN-PORT,No,Network & Connectivity
MU-104831,SIS-PORTAL-SLOW,Yes,Student Information System
MU-104681,LMS-LOGIN,No,Learning Management System
MU-102712,SIS-PORTAL-SLOW,No,Student Information System
MU-104428,ACC-NEW,No,Account & Access Management
MU-103685,LMS-QUIZ,Yes,Learning Management System
MU-101353,ACC-PWD-RESET,No,Account & Access Management
MU-103353,ACC-PWD-RESET,Yes,Account & Access Management
MU-103175,HW-PC-NOBOOT,Yes,Hardware & Equipment
MU-104551,NET-WIFI-NOCONN,Yes,Network & Connectivity
MU-100912,SIS-TRANSCRIPT,No,Student Information System
MU-101791,SIS-FEE,Yes,Student Information System
MU-101828,SIS-REG,No,Student Information System
MU-100840,NET-WIFI-NOCONN,Yes,Network & Connectivity
MU-103395,LMS-LOGIN,Yes,Learning Management System
MU-101675,SIS-TRANSCRIPT,No,Student Information System
MU-101690,HW-PERIPHERAL,Yes,Hardware & Equipment
MU-102880,SIS-REG,Yes,Student Information System
MU-101794,ACC-PWD-RESET,Yes,Account & Access Management
MU-103164,ACC-LOCKED,No,Account & Access Management
MU-102646,HW-PRINTER,Yes,Hardware & Equipment
MU-101789,HW-PROJECTOR,Yes,Hardware & Equipment
MU-104392,ACC-PWD-RESET,No,Account & Access Management
MU-103509,HW-PRINTER,No,Hardware & Equipment
MU-104173,HW-PRINTER,Yes,Hardware & Equipment
MU-103026,HW-PC-NOBOOT,Yes,Hardware & Equipment
MU-102980,ACC-PWD-RESET,Yes,Account & Access Management
MU-101032,HW-PC-NOBOOT,Yes,Hardware & Equipment
MU-100831,NET-WIFI-NOCONN,No,Network & Connectivity
MU-100536,NET-LAN-PORT,Yes,Network & Connectivity
MU-103957,HW-PRINTER,No,Hardware & Equipment
MU-102733,SIS-FEE,Yes,Student Information System
MU-100206,NET-SLOW,Yes,Network & Connectivity
MU-101748,HW-PC-NOBOOT,Yes,Hardware & Equipment
MU-103637,NET-SLOW,Yes,Network & Connectivity
MU-104837,NET-WIFI-NOCONN,No,Network & Connectivity
MU-102493,APP-LICENCE,Yes,Application Support
MU-100906,LMS-COURSE-MISSING,Yes,Learning Management System
MU-102065,LMS-UPLOAD,Yes,Learning Management System
MU-103349,ACC-PWD-RESET,No,Account & Access Management
MU-103821,NET-WIFI-NOCONN,Yes,Network & Connectivity
MU-101281,NET-LAN-PORT,Yes,Network & Connectivity
MU-104667,LMS-LOGIN,Yes,Learning Management System
MU-103213,APP-INSTALL,Yes,Application Support
MU-103121,ACC-PWD-RESET,Yes,Account & Access Management
MU-100744,EML-SEND-FAIL,Yes,Email & Collaboration
MU-104045,NET-LAN-PORT,Yes,Network & Connectivity
MU-102025,ACC-PWD-RESET,No,Account & Access Management
MU-104650,ACC-LOCKED,Yes,Account & Access Management
MU-102662,APP-INSTALL,No,Application Support
MU-102407,NET-VPN,Yes,Network & Connectivity
MU-103817,SIS-FEE,Yes,Student Information System
MU-102951,LMS-QUIZ,No,Learning Management System
MU-103898,ACC-PWD-RESET,No,Account & Access Management
MU-102550,LMS-COURSE-MISSING,Yes,Learning Management System
MU-103471,LMS-COURSE-MISSING,Yes,Learning Management System
MU-100372,NET-WIFI-NOCONN,Yes,Network & Connectivity
MU-103878,ACC-LOCKED,No,Account & Access Management
MU-104037,ACC-PWD-RESET,No,Account & Access Management
MU-102092,ACC-PWD-RESET,Yes,Account & Access Management
MU-101843,LMS-COURSE-MISSING,Yes,Learning Management System
MU-104721,SIS-TRANSCRIPT,Yes,Student Information System
MU-103156,NET-SLOW,No,Network & Connectivity
MU-101606,ACC-PWD-RESET,No,Account & Access Management
MU-103711,NET-SLOW,Yes,Network & Connectivity
MU-102456,ACC-PERMS,Yes,Account & Access Management
MU-103380,APP-INSTALL,No,Application Support
MU-102494,ACC-PWD-RESET,Yes,Account & Access Management
MU-104522,HW-PC-NOBOOT,No,Hardware & Equipment
MU-101509,ACC-PWD-RESET,Yes,Account & Access Management
MU-101532,HW-PC-SLOW,Yes,Hardware & Equipment
MU-101257,SIS-REG,No,Student Information System
MU-102035,NET-WIFI-NOCONN,Yes,Network & Connectivity
MU-101148,ACC-PWD-RESET,Yes,Account & Access Management
MU-101874,NET-LAN-PORT,Yes,Network & Connectivity
MU-103934,SIS-FEE,No,Student Information System
MU-100176,NET-SLOW,Yes,Network & Connectivity
MU-102420,ACC-PWD-RESET,No,Account & Access Management
MU-101718,ACC-PWD-RESET,Yes,Account & Access Management
MU-102058,NET-WIFI-NOCONN,Yes,Network & Connectivity
MU-101720,EML-MEETING,Yes,Email & Collaboration
MU-103236,HW-PRINTER,Yes,Hardware & Equipment
MU-104345,LMS-LOGIN,Yes,Learning Management System
MU-101030,APP-INSTALL,Yes,Application Support
MU-101453,NET-VPN,No,Network & Connectivity
MU-100566,NET-WIFI-NOCONN,No,Network & Connectivity
MU-101574,LMS-UPLOAD,Yes,Learning Management System
MU-104809,HW-PROJECTOR,Yes,Hardware & Equipment
MU-104057,LMS-COURSE-MISSING,Yes,Learning Management System
MU-102290,HW-PERIPHERAL,No,Hardware & Equipment
MU-102633,SIS-FEE,No,Student Information System
MU-103055,APP-PRINT-SW,Yes,Application Support
MU-103544,EML-SEND-FAIL,Yes,Email & Collaboration
MU-104568,ACC-PWD-RESET,No,Account & Access Management
MU-101015,EML-SEND-FAIL,Yes,Email & Collaboration
MU-100890,LMS-COURSE-MISSING,Yes,Learning Management System
MU-104046,LMS-COURSE-MISSING,Yes,Learning Management System
MU-101589,HW-PC-NOBOOT,Yes,Hardware & Equipment
MU-101581,SIS-REG,Yes,Student Information System
MU-102990,LMS-COURSE-MISSING,Yes,Learning Management System
MU-103659,SIS-TRANSCRIPT,Yes,Student Information System
MU-104755,EML-SEND-FAIL,Yes,Email & Collaboration
MU-102552,LMS-COURSE-MISSING,Yes,Learning Management System
MU-103779,APP-INSTALL,Yes,Application Support
MU-102815,LMS-QUIZ,No,Learning Management System
MU-102484,LMS-COURSE-MISSING,Yes,Learning Management System
MU-101517,NET-WIFI-NOCONN,No,Network & Connectivity
MU-101352,LMS-LOGIN,Yes,Learning Management System
MU-103648,APP-INSTALL,No,Application Support
MU-101452,LMS-LOGIN,No,Learning Management System
MU-102200,ACC-PERMS,Yes,Account & Access Management
MU-102337,SIS-PORTAL-SLOW,Yes,Student Information System
MU-103535,NET-WIFI-NOCONN,Yes,Network & Connectivity
MU-102332,LMS-COURSE-MISSING,No,Learning Management System
MU-101870,EML-SEND-FAIL,Yes,Email & Collaboration
MU-103454,EML-MEETING,Yes,Email & Collaboration
MU-103137,HW-PROJECTOR,No,Hardware & Equipment
MU-100710,APP-INSTALL,Yes,Application Support
MU-104296,SIS-FEE,Yes,Student Information System
MU-102909,SIS-FEE,No,Student Information System
MU-103174,EML-SEND-FAIL,No,Email & Collaboration
MU-100682,APP-PRINT-SW,Yes,Application Support
MU-102624,LMS-QUIZ,No,Learning Management System
MU-101324,EML-MEETING,Yes,Email & Collaboration
MU-103534,EML-MEETING,Yes,Email & Collaboration
MU-102256,EML-MAILBOX-FULL,Yes,Email & Collaboration
MU-101212,NET-LAN-PORT,Yes,Network & Connectivity
MU-104703,HW-PRINTER,Yes,Hardware & Equipment
MU-101542,HW-PC-SLOW,Yes,Hardware & Equipment
MU-104223,HW-PROJECTOR,No,Hardware & Equipment
MU-101153,NET-SLOW,Yes,Network & Connectivity
MU-100665,EML-MAILBOX-FULL,Yes,Email & Collaboration
MU-101253,HW-PC-NOBOOT,Yes,Hardware & Equipment
MU-101288,ACC-LOCKED,Yes,Account & Access Management
MU-102740,SIS-REG,Yes,Student Information System
MU-101450,APP-ERP,Yes,Application Support
MU-104880,ACC-PERMS,No,Account & Access Management
MU-100428,LMS-LOGIN,No,Learning Management System
MU-103557,LMS-LOGIN,Yes,Learning Management System
MU-104354,LMS-COURSE-MISSING,Yes,Learning Management System
MU-101145,HW-PC-SLOW,Yes,Hardware & Equipment
MU-100650,LMS-LOGIN,Yes,Learning Management System
MU-104273,LMS-LOGIN,No,Learning Management System
MU-103807,SIS-PORTAL-SLOW,Yes,Student Information System
MU-101278,LMS-COURSE-MISSING,Yes,Learning Management System
MU-104781,ACC-NEW,No,Account & Access Management
MU-102701,ACC-PWD-RESET,No,Account & Access Management
MU-104007,NET-WIFI-NOCONN,Yes,Network & Connectivity
MU-100658,NET-WIFI-NOCONN,Yes,Network & Connectivity
MU-104645,LMS-LOGIN,Yes,Learning Management System
MU-101469,EML-SEND-FAIL,Yes,Email & Collaboration
MU-104261,APP-LICENCE,No,Application Support
MU-103761,SIS-TRANSCRIPT,Yes,Student Information System
MU-104659,SIS-PORTAL-SLOW,No,Student Information System
MU-103207,ACC-LOCKED,Yes,Account & Access Management
MU-102225,LMS-LOGIN,No,Learning Management System
MU-102181,APP-INSTALL,No,Application Support
MU-102788,EML-SEND-FAIL,Yes,Email & Collaboration
MU-100140,EML-SEND-FAIL,No,Email & Collaboration
MU-102411,NET-WIFI-NOCONN,Yes,Network & Connectivity
MU-103707,HW-PC-NOBOOT,Yes,Hardware & Equipment
MU-100672,LMS-LOGIN,Yes,Learning Management System
MU-100356,LMS-LOGIN,Yes,Learning Management System
MU-102974,NET-LAN-PORT,No,Network & Connectivity
MU-101049,ACC-NEW,Yes,Account & Access Management
MU-104719,SIS-PORTAL-SLOW,Yes,Student Information System
MU-102922,HW-PC-SLOW,Yes,Hardware & Equipment
MU-100194,SIS-FEE,Yes,Student Information System
MU-103407,HW-PC-NOBOOT,Yes,Hardware & Equipment
MU-102146,APP-PRINT-SW,Yes,Application Support
MU-100559,SIS-REG,Yes,Student Information System
MU-100584,ACC-PWD-RESET,Yes,Account & Access Management
MU-100943,NET-LAN-PORT,Yes,Network & Connectivity
MU-103041,SIS-PORTAL-SLOW,No,Student Information System
