Ticket ID,Subject,Description,Category,Subcategory,Department,Assigned Resolver,Assigned Team,Status,Resolution Notes,Created,Resolved,Reassigned
MU-101816,Printing not working,It is down and i need the network printer mapped. Awaiting your response.,Application Support,Print services,School of Arts and Social Sciences,ICT-APP-02,Applications Support Team,Closed,"Removed the stale printer object, reinstalled the correct driver and mapped the user to the departmental print queue. Verified with a test page.",2025-03-09 12:20,2025-03-10 23:28,No
MU-103352,Forgot password,The system is not accepting my login and this is for my staff domain account. i have already restarted the machine. please help.,Account & Access Management,Password reset,School of Law,ICT-SYS-03,Systems & Accounts Team,Closed,"Verified the requester's identity against staff/student records, reset the account password in Active Directory and issued a temporary password with a forced change at next logon. Advised the user to report any recurrence.",2024-04-01 16:10,2024-04-01 19:06,No
MU-101270,Poor network performance,see subject,Network & Connectivity,Performance,University Library,ICT-NET-01,Network Team,Closed,"Investigated bandwidth utilisation on the department switch, identified a broadcast storm from a faulty device, isolated the port and normalised throughput. Advised the user to report any recurrence.",2024-10-25 13:48,2024-10-27 04:32,No
MU-102349,Finance system problem,"Dear ICT, My login keeps failing.  please help.  Your assistance will be appreciated.",Application Support,ERP / Finance system,School of Business and Economics,ICT-HD-01,Help Desk (Tier 1),Closed,"Cleared the corrupted local client cache, updated the ERP client to the current build and re-established the database connection profile. Confirmed normal operation.",2025-11-28 17:23,2025-12-01 15:08,No
MU-103597,Cannot login,I cannot login from today morning. Thank you.,Learning Management System,Password reset,School of Business and Economics,ICT-SYS-01,Systems & Accounts Team,Closed,"Verified the requester's identity against staff/student records, reset the account password in Active Directory and issued a temporary password with a forced change at next logon.",2025-07-06 15:41,2025-07-06 17:03,No
MU-101516,Account disabled,It says my details are wrong. my account has been locked after several attempts. Thanks in advance.,Account & Access Management,Account lockout,School of Science,ICT-HD-01,Help Desk (Tier 1),In Progress,,2025-06-29 07:29,,No
MU-101621,KINDLY ASSIST,It has refused to work. i am uploading lecture notes to the elaerning portal. i have tried on both my phone and laptop. kindly treat as urgent. Regards.,Learning Management System,Content upload,School of Arts and Social Sciences,ICT-ELN-01,eLearning Support Unit,Closed,Increased the per-file upload limit for the course area and advised the user on compressing large media before upload. Confirmed successful upload.,2025-10-24 13:23,2025-10-25 10:21,No
MU-103157,Procurement system error,"Dear ICT, Permission is denied when i try in the administration block. Thanks in advance.",Application Support,ERP / Finance system,School of Science,ICT-APP-02,Applications Support Team,Closed,"Cleared the corrupted local client cache, updated the ERP client to the current build and re-established the database connection profile. Confirmed normal operation.",2024-08-07 07:04,2024-08-11 03:07,No
MU-104014,Cannot login,I am locked out since the semester started. Thanks in advance.,Account & Access Management,Password reset,School of Education,ICT-SYS-03,Systems & Accounts Team,Closed,"Verified the requester's identity against staff/student records, reset the account password in Active Directory and issued a temporary password with a forced change at next logon.",2024-03-24 08:44,2024-03-24 10:46,No
MU-104584,assistance required,It says my details are wrong and this is on the student portal. i have tried several times.,Student Information System,Unit registration,School of Engineering,ICT-MIS-03,MIS / SIS Support Team,Closed,"Confirmed fee-balance and academic-status flags blocking registration, cleared the eligibility block after finance confirmation and verified the student completed unit registration.",2024-04-27 10:22,2024-04-30 09:20,No
MU-103411,ERP not opening,"Dear Sir/Madam, I cannot login in the computer lab.  it disconnects when i try to post a transaction.  this is affecting my work.  kindly assist.  Kindly assist.",Application Support,ERP / Finance system,School of Science,ICT-APP-01,Applications Support Team,Closed,"Cleared the corrupted local client cache, updated the ERP client to the current build and re-established the database connection profile. Confirmed normal operation.",2025-04-10 18:50,2025-04-14 08:59,No
MU-104019,xxx,test,Application Support,Licensing,School of Business and Economics,ICT-HD-03,Help Desk (Tier 1),Closed,Re-registered the endpoint against the institutional licence server and reapplied a valid activation key. Confirmed the product reported an activated state.,2024-06-20 10:42,2024-06-21 14:58,No
MU-103274,New staff account,"Hello, Kindly create an account at the main campus. we need a domain account and email address created. kindly assist urgently. Kidly assist urgently.",Account & Access Management,New account,School of Arts and Social Sciences,ICT-SYS-02,Systems & Accounts Team,Closed,"Created the domain account and mailbox from the approved appointment letter, assigned the departmental security groups and issued credentials to the user.",2024-09-28 15:21,2024-09-28 20:11,No
MU-101824,Password expired,"Dear ICT, I keep gettinng invalid credentials in our block. Your assistance will be appreciated.",Account & Access Management,Password reset,School of Medicine,ICT-HD-03,Help Desk (Tier 1),Resolved,"Verified the requester's identity against staff/student records, reset the account password in Active Directory and issued a temporary password with a forced change at next logon.",2024-08-05 13:49,2024-08-05 18:18,No
MU-102604,Problem with system,"Hello, I have no access in my office. the wifi shows but does not connect from today morning.",Network & Connectivity,Wi-Fi,School of Education,ICT-NET-01,Network Team,Closed,Reset the wireless access point serving the block and re-authenticated the user device on MU-WiFi. Confirmed connectivity restored. Ticket closed.,2025-01-01 13:23,2025-01-02 13:26,No
MU-101447,Licence key problem,"Good morning, It keeps asking for activation. Kindly assist.",Application Support,Licensing,School of Medicine,ICT-APP-01,Applications Support Team,In Progress,,2025-09-07 18:13,,No
MU-100501,xxx,ignore this,Application Support,ERP / Finance system,School of Arts and Social Sciences,ICT-APP-02,Applications Support Team,Closed,"Cleared the corrupted local client cache, updated the ERP client to the current build and re-established the database connection profile. Confirmed normal operation.",2024-05-28 11:31,2024-05-29 08:46,No
MU-103537,PC will not powre on,"Greetings, It has stopped working. it stopped booting after the poweer went off since this morning.",Hardware & Equipment,Desktop / laptop,School of Engineering,ICT-HWM-01,Hardware & Maintenance Team,Closed,"Diagnosed a failed power supply unit following a power surge, replaced the PSU and confirmed the system booted normally into the operating system. Advised the user to report any recurrence.",2025-10-30 14:25,2025-11-05 23:54,No
MU-102017,WiFi problem,"Dear ICT, I cannot open it.  there is no wifi in our block since the power went off.  kindly asisst urgently.  Regards.",Network & Connectivity,Wi-Fi,ICT Directorate,ICT-NET-02,Network Team,Closed,Reset the wireless access point serving the block and re-authenticated the user device on MU-WiFi. Confirmed connectivity restored.,2025-09-03 15:43,2025-09-04 12:11,No
MU-102028,Projector not working,"Dear ICT, It is missing. i have tried on both my phone and laptop.",Hardware & Equipment,Projector,School of Business and Economics,ICT-HWM-03,Hardware & Maintenance Team,Closed,Replaced the faulty HDMI cable and cleaned the projector optics; where the lamp was beyond service hours the lamp module was replaced. Confirmed clear display.,2024-09-17 08:52,2024-09-18 20:15,No
MU-103337,Macihne freezing,It is not functioning in the staff room. my computer hangs when i open several programs since the semestre started. Kindly assist.,Hardware & Equipment,Performance,School of Science,ICT-HWM-03,Hardware & Maintenance Team,Closed,,2025-08-01 08:55,2025-08-12 05:22,Yes
MU-100214,eLearning access problem,It says my details are wrong and my emil password works but elearning does not accept it. i have tried several times. your assistance will be appreciated.,Learning Management System,Access,Human Resources,ICT-ELN-01,eLearning Support Unit,Closed,Confirmed the account existed on the LMS but was not synchronised with the directory; re-synchronised the user record and verified successful login. Advised the user to report any recurrence.,2024-09-12 18:04,2024-09-13 15:13,No
MU-104695,Slow connection,It has stopped working in the administration block. browsing is very slow.,Network & Connectivity,Performance,School of Medicine,ICT-HWM-01,Hardware & Maintenance Team,Closed,"Investigated bandwidth utilisation on the department switch, identified a broadcast storm from a faulty device, isolated the port and normalised throughput.",2024-11-15 08:41,2024-11-16 02:24,No
MU-101663,NEW STAFF ACCOUNT,We need an accouunt opened. Thanks in advance.,Account & Access Management,New account,School of Law,ICT-SYS-01,Systems & Accounts Team,Closed,"Created the domain account and mailbox from the approved appointment letter, assigned the departmental security groups and issued credentials to the user.",2025-09-29 15:07,2025-09-29 20:04,No
MU-100612,New user setup,We need an account opened and this is for a newly employed member of staff for the past two days.,Account & Access Management,New account,ICT Directorate,ICT-SYS-02,Systems & Accounts Team,Closed,"Created the domain account and mailbox from the approved appointment letter, assigned the departmental security groups and issued credentials to the user.",2024-11-29 11:19,2024-11-29 14:12,Yes
MU-104856,Cnnot connect to wifi,"Dear ICT, It has stopped working.  the wifi shows but does not connect since friday.  Thanks in advance.",Network & Connectivity,Wi-Fi,School of Information Sciences,ICT-NET-03,Network Team,Closed,Reset the wireless access point serving the block and re-authenticated the user device on MU-WiFi. Confirmed connectivity restored.,2024-06-11 18:53,2024-06-12 02:30,No
MU-103100,KINDLY RESET MY PASSWORD,I am locked out and i have forgotten my password. this is affecting my work.,Account & Access Management,Password reset,School of Medicine,ICT-SYS-01,Systems & Accounts Team,Closed,"Verified the requester's identity against staff/student records, reset the account password in Active Directory and issued a temporary password with a forced change at next logon.",2024-07-09 15:14,2024-07-09 17:32,Yes
MU-101010,MOSUE NOT RESPONDING,It is missing in the comp lab. the mouse pointer does not move at all since last week. i have already restared the machine. Kindly assist.,Hardware & Equipment,Peripherals,Human Resources,ICT-HWM-02,Hardware & Maintenance Team,Closed,Replaced the faulty peripheral from stores and confirmed detection and normal operation; for the UPS the battery pack was replaced and a load test performed.,2025-05-26 16:37,2025-05-28 08:33,No
MU-101183,Account diisabled,The system is not accepting my login in our department. i need my account unlocked. i have tried on both my phone and laptop. Thanks in advance.,Account & Access Management,Account lockout,School of Business and Economics,ICT-SYS-04,Systems & Accounts Team,Closed,"Confirmed the lockout source, cleared the lockout in Active Directory, unlocked the account and advised the user on clearing cached credentials on secondary devices.",2025-09-19 09:45,2025-09-19 10:36,No
MU-104887,no network on desktop,"Hi, It does not detect anything and the cable shows unplugged in the staff room.",Network & Connectivity,LAN,University Library,ICT-NET-02,Network Team,Resolved,"Traced the wall port to the patch panel, re-terminated the faulty jack and re-patched to an active switch port. Link confirmed at 1Gbps.",2024-11-17 11:22,2024-11-18 10:36,No
MU-102556,Forgot password,-,Account & Access Management,Password reset,School of Business and Economics,ICT-SYS-01,Systems & Accounts Team,In Progress,,2024-05-10 18:38,,No
MU-104469,Finance system problem,I am unable to log in. the procurement system will not open on my machine. the deadline is today. Regards.,Application Support,ERP / Finance system,ICT Directorate,ICT-APP-01,Applications Support Team,Closed,"Cleared the corrupted local client cache, updated the ERP client to the current build and re-established the database connection profile. Confirmed normal operation.",2024-08-04 07:32,2024-08-07 12:45,No
MU-100903,Request for support,"Greetings, I keep getting invalid credentials since last week. my colleague is not having the same problem. please help. Kindly assist urgently.",Network & Connectivity,VPN / Remote access,School of Education,ICT-NET-03,Network Team,Closed,"Re-issued the VPN profile, confirmed the account was in the remote-access group and verified successful tunnel establishment from an external network.",2025-10-11 10:03,2025-10-12 03:55,No
MU-100971,pyament not reflecting,It is not working. my fee statement does not show the amount paid since this morning. the deadline is today. i would appreciate your help.,Student Information System,Fee statement,Estates and Works,ICT-MIS-02,MIS / SIS Support Team,Closed,"Reconciled the bank transaction reference against the finance ledger, posted the missing receipt to the student account and confirmed the updated statement in the portal.",2025-11-19 17:10,2025-11-20 02:00,No
MU-101531,Keyboard not working,"Good morning, I cannot see it from today morning. i would appreciate your help. Kindly assist.",Hardware & Equipment,Peripherals,Finance Department,ICT-HWM-03,Hardware & Maintenance Team,Closed,Replaced the faulty peripheral from stores and confirmed detection and normal operation; for the UPS the battery pack was replaced and a load test performed. Advised the user to report any recurrence.,2025-03-13 12:29,2025-03-24 11:12,Yes
MU-101854,CANNOT CONNECT TO WIFI,It is down and my laptop will not join mu-wifi in my office.  my colleague is not having the same problem.  your assistance will be appreciated.,Network & Connectivity,Wi-Fi,School of Engineering,ICT-NET-03,Network Team,Closed,Reset the wireless access point serving the block and re-authenticated the user device on MU-WiFi. Confirmed connectivity restored.,2025-11-06 17:08,2025-11-07 09:16,Yes
MU-103266,Password expired,It says acecss denied and my password has expired and needs resetting in our block since friday. the deadline is today. your assistance will be appreciated.,Account & Access Management,Password reset,ICT Directorate,ICT-SYS-02,Systems & Accounts Team,In Progress,,2025-01-14 11:06,,No
MU-100006,Unit not showing,It has stopped working. my units are not on the elearning dashboard. it was working fine last week. kindly asssit urgently.,Learning Management System,Course enrolment,School of Education,ICT-HD-01,Help Desk (Tier 1),Closed,"Verified enrolment records against the student information system, re-ran the enrolment synchronisation for the affected unit and confirmed the course was visible to the user.",2025-10-22 12:22,2025-10-23 17:02,No
MU-103841,Licence expired,"Dear Sir/Madam, Nothng is happening and the antivirus says the licence has expired.  Your assistance will be appreciated.",Application Support,Licensing,School of Information Sciences,ICT-APP-02,Applications Support Team,Closed,,2024-06-03 07:41,2024-06-05 15:33,No
MU-104796,PRINTER JAMMING,"Hello, Nothing is happening at the library since the power went off. kindly assist urgently.",Hardware & Equipment,Printer,School of Information Sciences,ICT-HWM-01,Hardware & Maintenance Team,Closed,"Cleared the paper path obstruction, replaced the worn pickup roller and ran a cleaning cycle. Confirmed clean output on a test print.",2025-02-15 18:23,2025-02-16 19:37,No
MU-101776,Cannot register units,I keep getting invalid credentials and the registration page errors after i select units. i would appreciate your help.,Student Information System,Unit registration,Estates and Works,ICT-MIS-01,MIS / SIS Support Team,Closed,"Confirmed fee-balance and academic-status flags blocking registration, cleared the eligibility block after finance confirmation and verified the student completed unit registration. Ticket closed.",2024-07-18 18:09,2024-07-19 10:29,No
MU-102027,locked out,"Hi, I keep getting invalid credentials in the satff room. kindly assist. Your assistance will be appreciated.",Account & Access Management,Account lockout,ICT Directorate,ICT-SYS-04,Systems & Accounts Team,Open,,2024-08-15 12:35,,Yes
MU-103046,Locked out,I cannot login. it locked itself after i typed the wrong password too many times. Awaiting your response.,Account & Access Management,Account lockout,School of Information Sciences,ICT-SYS-02,Systems & Accounts Team,Closed,"Confirmed the lockout source, cleared the lockout in Active Directory, unlocked the account and advised the user on clearing cached credentials on secondary devices. Advised the user to report any recurrence.",2025-07-15 15:14,2025-07-15 20:52,No
MU-103734,PASSWORD RESET,"Good morning, It says my details are wrong. i need my password reset since the power went off. Thnks in advance.",Account & Access Management,Password reset,Registrar (Academic),ICT-SYS-01,Systems & Accounts Team,Closed,"Verified the requester's identity against staff/student records, reset the account password in Active Directory and issued a temporary password with a forced change at next logon.",2024-01-10 10:09,2024-01-10 10:39,No
MU-101539,Registration not working,see subject,Student Information System,Unit registration,School of Information Sciences,ICT-MIS-01,MIS / SIS Support Team,Closed,"Confirmed fee-balance and academic-status flags blocking registration, cleared the eligibility block after finance confirmation and verified the student completed unit registration. User confirmed the issue was resolved.",2024-06-16 16:05,2024-06-19 05:14,No
MU-103115,Account disabled,"Dear Sir/Madam, It says my details are wrong for the past two days. kindly assist. Thank you.",Account & Access Management,Account lockout,School of Arts and Social Sciences,ICT-SYS-01,Systems & Accounts Team,In Progress,,2025-05-17 08:39,,No
MU-101963,Kindly reset my password,Login is not working at the main camups since friday. i have tried several times. Your assistance will be appreciated.,Account & Access Management,Password reset,Estates and Works,ICT-SYS-01,Systems & Accounts Team,Closed,"Verified the requester's identity against staff/student records, reset the account password in Active Directory and issued a temporary password with a forced change at next logon. User confirmed the issue was resolved.",2025-04-09 07:03,2025-04-09 12:50,Yes
MU-104674,Unable to register,"Dear Sir/Madam, It is not functioning in lecture hall three. i am trying to registre my units for the semester for the past two days. please help. Kindly assist urgently.",,Unit registration,Human Resources,ICT-MIS-03,MIS / SIS Support Team,Closed,"Confirmed fee-balance and academic-status flags blocking registration, cleared the eligibility block after finance confirmation and verified the student completed unit registration. User confirmed the issue was resolved.",2024-10-12 18:39,2024-10-17 05:44,Yes
MU-102463,Cannot see my course,It is not working and the course page is not visible to my students in the staff room. i have tried several times.,Learning Management System,Course enrolment,Registrar (Academic),ICT-ELN-01,eLearning Support Unit,In Progress,,2024-08-05 08:07,,No
MU-103747,Slow connection,It is extremely slow in our block. downloads crawl even on a good signal. my colleague is not having the same problem. i woud appreciate your help. Kindly assist.,Network & Connectivity,Performance,School of Business and Economics,ICT-NET-01,Network Team,Closed,"Investigated bandwidth utilisation on the department switch, identified a broadcast storm from a faulty device, isolated the port and normalised throughput.",2025-12-07 18:11,2025-12-08 00:30,No
MU-100312,password expired,It says access deenied in the staff room. i need my password reset. Kindly assist urgently.,Account & Access Management,Password reset,School of Engineering,ICT-SYS-03,Systems & Accounts Team,Closed,"Verified the requester's identity against staff/student records, reset the account password in Active Directory and issued a temporary password with a forced change at next logon.",2024-10-10 13:44,2024-10-10 16:30,No
MU-104685,Account disabled,"Hi, Login is not working. the system says my accunt is disabled. Awaiting your response.",Account & Access Management,Account lockout,School of Education,ICT-SYS-03,Systems & Accounts Team,Closed,"Confirmed the lockout source, cleared the lockout in Active Directory, unlocked the account and advised the user on clearing cached credentials on secondary devices. Advised the user to report any recurrence.",2025-05-14 16:05,2025-05-14 19:41,No
MU-100562,Cable not detecting,There is no connection at all in the staff room. the ethernet port is not giving a link since this morning. kindly look into it. Kindly assist urgntly.,Network & Connectivity,LAN,Human Resources,ICT-NET-01,Network Team,Closed,"Traced the wall port to the patch panel, re-terminated the faulty jack and re-patched to an active switch port. Link confirmed at 1Gbps.",2024-04-01 07:34,2024-04-02 20:15,Yes
MU-104538,cannot logiin,Permission is denied when i try. kindly look into it.,Account & Access Management,Password reset,Finance Department,ICT-SYS-03,Systems & Accounts Team,In Progress,,2024-06-26 17:27,,No
MU-100404,FORGOT PASSWORD,"Dear ICT, It says my details are wrong in my office. this is for my staff domain account for a whiile now. please help.",Account & Access Management,Password reset,School of Business and Economics,ICT-SYS-01,Systems & Accounts Team,Open,,2024-02-07 16:40,,No
MU-103985,MISSING MARKS,"Good morning, It is not working at the main campus. my results for two unnits are not in the portal. kindly assist. Regards.",Account & Access Management,Results / transcripts,Registrar (Academic),ICT-MIS-01,MIS / SIS Support Team,Closed,"Traced the unresolved marks to an unapproved mark sheet, escalated to the school examinations office for approval and confirmed the results displayed after posting.",2025-09-09 07:54,2025-09-10 13:03,No
MU-102373,CANNOT UPLOAD NOTES,Nothing is happening and the assignment file will not go up to the course page for the past two days. the dealine is today. Awaiting your response.,Learning Management System,Content upload,School of Business and Economics,ICT-ELN-01,eLearning Support Unit,Closed,Increased the per-file upload limit for the course area and advised the user on compressing large media before upload. Confirmed successful upload.,2025-06-23 12:26,2025-06-24 02:17,No
MU-102403,Kindly reset my password,-,Student Information System,Password reset,School of Education,ICT-SYS-02,Systems & Accounts Team,Open,,2024-06-14 17:20,,No
MU-103519,Unable to join the wirreless network,It is not working at the library since the semester started. i would appreciate your help.,Network & Connectivity,Wi-Fi,Registrar (Academic),ICT-NET-01,Network Team,Closed,Reset the wireless access point serving the block and re-authenticated the user device on MU-WiFi. Confirmed connectivity restored.,2025-05-10 16:35,2025-05-12 15:04,No
MU-100175,Password reset,I cannot access the system at the library since this morning.  Awaiting your response.,Account & Access Management,Password reset,School of Information Sciences,ICT-SYS-04,Systems & Accounts Team,Closed,"Verified the requester's identity against staff/student records, reset the account password in Active Directory and issued a temporary password with a forced change at next logon.",2024-08-19 10:50,2024-08-19 14:07,No
MU-101939,Support request,Everything is very slow in the computer lab.  i have to restart the computer seeveral times a day.,Hardware & Equipment,Performance,School of Information Sciences,ICT-APP-02,Applications Support Team,Closed,"Performed malware removal and disk cleanup, upgraded the machine from a mechanical disk to an SSD and increased RAM. Boot and application load times improved substantially.",2024-01-14 09:54,2024-01-19 05:52,No
MU-101938,Urgent assistance required,"Hi, It keeps failing in the administration block sice the power went off. pls help. Your assistance will be appreciated.",Student Information System,Permissions,School of Science,ICT-SYS-04,Systems & Accounts Team,Closed,"Added the user to the correct departmental security group after confirming approval from the head of department, and verified access to the shared resource.",2025-01-04 07:40,2025-01-04 09:24,No
MU-103733,No wifi connection,Nothing is happening. this is on the wireless network snice friday. it was working fine last week. kindly look into it.,Network & Connectivity,Wi-Fi,Procurement,ICT-NET-03,Network Team,Closed,Reset the wireless access point serving the block and re-authenticated the user device on MU-WiFi. Confirmed connectivity restored.,2025-03-01 14:42,2025-03-03 08:17,Yes
MU-102547,CANNOT CONNECT TO WIFI,It says access denied in the computer lab. kindly assist urgently.,Network & Connectivity,Wi-Fi,School of Education,ICT-NET-01,Network Team,Closed,Reset the wireless access point serving the block and re-authenticated the user device on MU-WiFi. Confirmed connectivity restored.,2024-01-28 12:41,2024-01-29 19:44,No
MU-104698,Cannot upload notes,"Hi, It keeps failing and i am uploading lecture notes to the elearning portal in the staff room since friday. kindly treat as urgent. Kindly assist.",Learning Management System,Content upload,School of Medicine,ICT-ELN-02,eLearning Support Unit,Closed,Increased the per-file upload limit for the course area and advised the user on compressing large media before upload. Confirmed successful upload. User confirmed the issue was resolved.,2024-12-08 14:14,2024-12-09 05:53,No
MU-102889,Missing marks,"Good afternoon, I have no access and the transcript is missing marks from last semester in the administration block. i would appreciate your help.",Student Information System,Results / transcripts,School of Arts and Social Sciences,ICT-HD-01,Help Desk (Tier 1),Resolved,"Traced the unresolved marks to an unapproved mark sheet, escalated to the school examinations office for approval and confirmed the results displayed after posting.",2025-07-18 07:40,2025-07-19 08:20,No
MU-103504,Unable to join the wireless network,"Hello, It is not fuctioning and my laptop will not join mu-wifi.",Network & Connectivity,Wi-Fi,Registrar (Academic),ICT-NET-02,Network Team,Closed,Reset the wireless access point serving the block and re-authenticated the user device on MU-WiFi. Confirmed connectivity restored.,2025-07-17 08:29,2025-07-17 23:48,No
MU-100911,Mailbox full,"Good afternoon, It has stopped working in the computer lab. i need my mailbox quota increased since yesterday. kindly assist. Your assistance will be appreciated.",Email & Collaboration,Mailbox quota,School of Business and Economics,ICT-SYS-03,Systems & Accounts Team,Closed,"Advised the user on archiving, purged deleted items and increased the mailbox quota in line with the ICT storage policy. Confirmed mail flow resumed.",2024-12-28 07:05,2024-12-29 06:56,No
MU-101273,Unable to join the wireless network,"Good morning, It keeps failing.",Network & Connectivity,Wi-Fi,Human Resources,ICT-NET-02,Network Team,Closed,Reset the wireless access point serving the block and re-authenticated the user device on MU-WiFi. Confirmed connectivity restored.,2025-02-06 15:04,2025-02-09 22:17,Yes
MU-104444,Cannot see my course,"Good morning, It is not appearing and i registered the unit but it is not on e-learning since this morning.",Learning Management System,Course enrolment,Human Resources,ICT-ELN-01,eLearning Support Unit,Closed,"Verified enrolment records against the student information system, re-ran the enrolment synchronisation for the affected unit and confirmed the course was visible to the user.",2025-05-09 13:47,2025-05-10 03:55,No
MU-103895,machine freezing,It is giving an error in the comuter lab from today morning. your assistance will be appreciated.,Hardware & Equipment,Performance,School of Business and Economics,ICT-APP-02,Applications Support Team,Closed,"Performed malware removal and disk cleanup, upgraded the machine from a mechanical disk to an SSD and increased RAM. Boot and application load times improved substantially.",2025-09-17 12:53,2025-09-22 11:00,No
MU-103954,Problem with system,Peformance is very poor at the library. it was working fine last week.,Student Information System,Performance,School of Information Sciences,ICT-MIS-02,MIS / SIS Support Team,Closed,,2025-04-24 14:26,2025-04-24 18:22,No
MU-100189,Fee statement problem,It has disappeared and my fee statement does not show the amount paid at the library. pls help. Kindly assist.,Student Information System,Fee statement,School of Arts and Social Sciences,ICT-MIS-03,MIS / SIS Support Team,Closed,"Reconciled the bank transaction reference against the finance ledger, posted the missing receipt to the student account and confirmed the updated statement in the portal.",2024-05-07 09:27,2024-05-07 15:25,No
MU-101500,kindly assist,"Hi, The system is not accepting my login in lecture hall three.",Student Information System,Unit registration,School of Engineering,ICT-MIS-02,MIS / SIS Support Team,Closed,"Confirmed fee-balance and academic-status flags blocking registration, cleared the eligibility block after finance confirmation and verified the student completed unit registration.",2025-10-15 12:57,2025-10-18 12:27,No
MU-100008,Cannot login,"Greetings, I am unable to sign in since this morning. i have already restarted the machine. your assistaance will be appreciated.",Student Information System,Unit registration,School of Medicine,ICT-MIS-02,MIS / SIS Support Team,Closed,"Confirmed fee-balance and academic-status flags blocking registration, cleared the eligibility block after finance confirmation and verified the student completed unit registration.",2025-12-12 13:33,2025-12-12 22:10,No
MU-100267,Cannot connect to wifi,"Hi, It is not functioning. it keeps asking for the wifi password since the power went off. kindly look into it. Regards.",Network & Connectivity,Wi-Fi,School of Business and Economics,ICT-NET-02,Network Team,Closed,Reset the wireless access point serving the block and re-authenticated the user device on MU-WiFi. Confirmed connectivity restored.,2024-06-29 13:32,2024-07-01 06:57,No
