Ticket ID,Subject,Description,Category,Subcategory,Department,Assigned Resolver,Assigned Team,Status,Resolution Notes,Created,Resolved,Reassigned,latent_problem_id,had_context,true_category,subject_clean,desc_clean,text,res_clean,y_category,y_team,y_category_id,y_team_id
MU-101816,Printing not working,It is down and i need the network printer mapped. Awaiting your response.,Application Support,Print services,School of Arts and Social Sciences,ICT-APP-02,Applications Support Team,Closed,"Removed the stale printer object, reinstalled the correct driver and mapped the user to the departmental print queue. Verified with a test page.",2025-03-09 12:20,2025-03-10 23:28,No,APP-PRINT-SW,Yes,Application Support,printing not working,it is down and i need the network printer mapped awaiting your response,printing not working printing not working it is down and i need the network printer mapped awaiting your response,"Removed the stale printer object, reinstalled the correct driver and mapped the user to the departmental print queue. Verified with a test page.",Application Support,Applications Support Team,1,0
MU-103352,Forgot password,The system is not accepting my login and this is for my staff domain account. i have already restarted the machine. please help.,Account & Access Management,Password reset,School of Law,ICT-SYS-03,Systems & Accounts Team,Closed,"Verified the requester's identity against staff/student records, reset the account password in Active Directory and issued a temporary password with a forced change at next logon. Advised the user to report any recurrence.",2024-04-01 16:10,2024-04-01 19:06,No,ACC-PWD-RESET,Yes,Account & Access Management,forgot password,the system is not accepting my login and this is for my staff domain account i have already restarted the machine please help,forgot password forgot password the system is not accepting my login and this is for my staff domain account i have already restarted the machine please help,"Verified the requester's identity against staff/student records, reset the account password in Active Directory and issued a temporary password with a forced change at next logon. Advised the user to report any recurrence.",Account & Access Management,Systems & Accounts Team,0,5
MU-101270,Poor network performance,see subject,Network & Connectivity,Performance,University Library,ICT-NET-01,Network Team,Closed,"Investigated bandwidth utilisation on the department switch, identified a broadcast storm from a faulty device, isolated the port and normalised throughput. Advised the user to report any recurrence.",2024-10-25 13:48,2024-10-27 04:32,No,NET-SLOW,Yes,Network & Connectivity,poor network performance,see subject,poor network performance poor network performance see subject,"Investigated bandwidth utilisation on the department switch, identified a broadcast storm from a faulty device, isolated the port and normalised throughput. Advised the user to report any recurrence.",Network & Connectivity,Network Team,5,4
MU-102349,Finance system problem,"Dear ICT, My login keeps failing.  please help.  Your assistance will be appreciated.",Application Support,ERP / Finance system,School of Business and Economics,ICT-HD-01,Help Desk (Tier 1),Closed,"Cleared the corrupted local client cache, updated the ERP client to the current build and re-established the database connection profile. Confirmed normal operation.",2025-11-28 17:23,2025-12-01 15:08,No,APP-ERP,No,Application Support,finance system problem,dear ict my login keeps failing please help your assistance will be appreciated,finance system problem finance system problem dear ict my login keeps failing please help your assistance will be appreciated,"Cleared the corrupted local client cache, updated the ERP client to the current build and re-established the database connection profile. Confirmed normal operation.",Application Support,Help Desk (Tier 1),1,2
MU-103597,Cannot login,I cannot login from today morning. Thank you.,Learning Management System,Password reset,School of Business and Economics,ICT-SYS-01,Systems & Accounts Team,Closed,"Verified the requester's identity against staff/student records, reset the account password in Active Directory and issued a temporary password with a forced change at next logon.",2025-07-06 15:41,2025-07-06 17:03,No,ACC-PWD-RESET,No,Account & Access Management,cannot login,i cannot login from today morning thank you,cannot login cannot login i cannot login from today morning thank you,"Verified the requester's identity against staff/student records, reset the account password in Active Directory and issued a temporary password with a forced change at next logon.",Learning Management System,Systems & Accounts Team,4,5
MU-101516,Account disabled,It says my details are wrong. my account has been locked after several attempts. Thanks in advance.,Account & Access Management,Account lockout,School of Science,ICT-HD-01,Help Desk (Tier 1),In Progress,,2025-06-29 07:29,,No,ACC-LOCKED,Yes,Account & Access Management,account disabled,it says my details are wrong my account has been locked after several attempts thanks in advance,account disabled account disabled it says my details are wrong my account has been locked after several attempts thanks in advance,,Account & Access Management,Help Desk (Tier 1),0,2
MU-101621,KINDLY ASSIST,It has refused to work. i am uploading lecture notes to the elaerning portal. i have tried on both my phone and laptop. kindly treat as urgent. Regards.,Learning Management System,Content upload,School of Arts and Social Sciences,ICT-ELN-01,eLearning Support Unit,Closed,Increased the per-file upload limit for the course area and advised the user on compressing large media before upload. Confirmed successful upload.,2025-10-24 13:23,2025-10-25 10:21,No,LMS-UPLOAD,Yes,Learning Management System,kindly assist,it has refused to work i am uploading lecture notes to the elaerning portal i have tried on both my phone and laptop kindly treat as urgent regards,kindly assist kindly assist it has refused to work i am uploading lecture notes to the elaerning portal i have tried on both my phone and laptop kindly treat as urgent regards,Increased the per-file upload limit for the course area and advised the user on compressing large media before upload. Confirmed successful upload.,Learning Management System,eLearning Support Unit,4,6
MU-103157,Procurement system error,"Dear ICT, Permission is denied when i try in the administration block. Thanks in advance.",Application Support,ERP / Finance system,School of Science,ICT-APP-02,Applications Support Team,Closed,"Cleared the corrupted local client cache, updated the ERP client to the current build and re-established the database connection profile. Confirmed normal operation.",2024-08-07 07:04,2024-08-11 03:07,No,APP-ERP,No,Application Support,procurement system error,dear ict permission is denied when i try in the administration block thanks in advance,procurement system error procurement system error dear ict permission is denied when i try in the administration block thanks in advance,"Cleared the corrupted local client cache, updated the ERP client to the current build and re-established the database connection profile. Confirmed normal operation.",Application Support,Applications Support Team,1,0
MU-104014,Cannot login,I am locked out since the semester started. Thanks in advance.,Account & Access Management,Password reset,School of Education,ICT-SYS-03,Systems & Accounts Team,Closed,"Verified the requester's identity against staff/student records, reset the account password in Active Directory and issued a temporary password with a forced change at next logon.",2024-03-24 08:44,2024-03-24 10:46,No,ACC-PWD-RESET,No,Account & Access Management,cannot login,i am locked out since the semester started thanks in advance,cannot login cannot login i am locked out since the semester started thanks in advance,"Verified the requester's identity against staff/student records, reset the account password in Active Directory and issued a temporary password with a forced change at next logon.",Account & Access Management,Systems & Accounts Team,0,5
MU-104584,assistance required,It says my details are wrong and this is on the student portal. i have tried several times.,Student Information System,Unit registration,School of Engineering,ICT-MIS-03,MIS / SIS Support Team,Closed,"Confirmed fee-balance and academic-status flags blocking registration, cleared the eligibility block after finance confirmation and verified the student completed unit registration.",2024-04-27 10:22,2024-04-30 09:20,No,SIS-REG,Yes,Student Information System,assistance required,it says my details are wrong and this is on the student portal i have tried several times,assistance required assistance required it says my details are wrong and this is on the student portal i have tried several times,"Confirmed fee-balance and academic-status flags blocking registration, cleared the eligibility block after finance confirmation and verified the student completed unit registration.",Student Information System,MIS / SIS Support Team,6,3
MU-103411,ERP not opening,"Dear Sir/Madam, I cannot login in the computer lab.  it disconnects when i try to post a transaction.  this is affecting my work.  kindly assist.  Kindly assist.",Application Support,ERP / Finance system,School of Science,ICT-APP-01,Applications Support Team,Closed,"Cleared the corrupted local client cache, updated the ERP client to the current build and re-established the database connection profile. Confirmed normal operation.",2025-04-10 18:50,2025-04-14 08:59,No,APP-ERP,Yes,Application Support,erp not opening,dear sir madam i cannot login in the computer lab it disconnects when i try to post a transaction this is affecting my work kindly assist kindly assist,erp not opening erp not opening dear sir madam i cannot login in the computer lab it disconnects when i try to post a transaction this is affecting my work kindly assist kindly assist,"Cleared the corrupted local client cache, updated the ERP client to the current build and re-established the database connection profile. Confirmed normal operation.",Application Support,Applications Support Team,1,0
MU-103274,New staff account,"Hello, Kindly create an account at the main campus. we need a domain account and email address created. kindly assist urgently. Kidly assist urgently.",Account & Access Management,New account,School of Arts and Social Sciences,ICT-SYS-02,Systems & Accounts Team,Closed,"Created the domain account and mailbox from the approved appointment letter, assigned the departmental security groups and issued credentials to the user.",2024-09-28 15:21,2024-09-28 20:11,No,ACC-NEW,Yes,Account & Access Management,new staff account,hello kindly create an account at the main campus we need a domain account and email address created kindly assist urgently kidly assist urgently,new staff account new staff account hello kindly create an account at the main campus we need a domain account and email address created kindly assist urgently kidly assist urgently,"Created the domain account and mailbox from the approved appointment letter, assigned the departmental security groups and issued credentials to the user.",Account & Access Management,Systems & Accounts Team,0,5
MU-101824,Password expired,"Dear ICT, I keep gettinng invalid credentials in our block. Your assistance will be appreciated.",Account & Access Management,Password reset,School of Medicine,ICT-HD-03,Help Desk (Tier 1),Resolved,"Verified the requester's identity against staff/student records, reset the account password in Active Directory and issued a temporary password with a forced change at next logon.",2024-08-05 13:49,2024-08-05 18:18,No,ACC-PWD-RESET,No,Account & Access Management,password expired,dear ict i keep gettinng invalid credentials in our block your assistance will be appreciated,password expired password expired dear ict i keep gettinng invalid credentials in our block your assistance will be appreciated,"Verified the requester's identity against staff/student records, reset the account password in Active Directory and issued a temporary password with a forced change at next logon.",Account & Access Management,Help Desk (Tier 1),0,2
MU-102604,Problem with system,"Hello, I have no access in my office. the wifi shows but does not connect from today morning.",Network & Connectivity,Wi-Fi,School of Education,ICT-NET-01,Network Team,Closed,Reset the wireless access point serving the block and re-authenticated the user device on MU-WiFi. Confirmed connectivity restored. Ticket closed.,2025-01-01 13:23,2025-01-02 13:26,No,NET-WIFI-NOCONN,Yes,Network & Connectivity,problem with system,hello i have no access in my office the wifi shows but does not connect from today morning,problem with system problem with system hello i have no access in my office the wifi shows but does not connect from today morning,Reset the wireless access point serving the block and re-authenticated the user device on MU-WiFi. Confirmed connectivity restored. Ticket closed.,Network & Connectivity,Network Team,5,4
MU-101447,Licence key problem,"Good morning, It keeps asking for activation. Kindly assist.",Application Support,Licensing,School of Medicine,ICT-APP-01,Applications Support Team,In Progress,,2025-09-07 18:13,,No,APP-LICENCE,No,Application Support,licence key problem,good morning it keeps asking for activation kindly assist,licence key problem licence key problem good morning it keeps asking for activation kindly assist,,Application Support,Applications Support Team,1,0
MU-103537,PC will not powre on,"Greetings, It has stopped working. it stopped booting after the poweer went off since this morning.",Hardware & Equipment,Desktop / laptop,School of Engineering,ICT-HWM-01,Hardware & Maintenance Team,Closed,"Diagnosed a failed power supply unit following a power surge, replaced the PSU and confirmed the system booted normally into the operating system. Advised the user to report any recurrence.",2025-10-30 14:25,2025-11-05 23:54,No,HW-PC-NOBOOT,Yes,Hardware & Equipment,pc will not powre on,greetings it has stopped working it stopped booting after the poweer went off since this morning,pc will not powre on pc will not powre on greetings it has stopped working it stopped booting after the poweer went off since this morning,"Diagnosed a failed power supply unit following a power surge, replaced the PSU and confirmed the system booted normally into the operating system. Advised the user to report any recurrence.",Hardware & Equipment,Hardware & Maintenance Team,3,1
MU-102017,WiFi problem,"Dear ICT, I cannot open it.  there is no wifi in our block since the power went off.  kindly asisst urgently.  Regards.",Network & Connectivity,Wi-Fi,ICT Directorate,ICT-NET-02,Network Team,Closed,Reset the wireless access point serving the block and re-authenticated the user device on MU-WiFi. Confirmed connectivity restored.,2025-09-03 15:43,2025-09-04 12:11,No,NET-WIFI-NOCONN,Yes,Network & Connectivity,wifi problem,dear ict i cannot open it there is no wifi in our block since the power went off kindly asisst urgently regards,wifi problem wifi problem dear ict i cannot open it there is no wifi in our block since the power went off kindly asisst urgently regards,Reset the wireless access point serving the block and re-authenticated the user device on MU-WiFi. Confirmed connectivity restored.,Network & Connectivity,Network Team,5,4
MU-102028,Projector not working,"Dear ICT, It is missing. i have tried on both my phone and laptop.",Hardware & Equipment,Projector,School of Business and Economics,ICT-HWM-03,Hardware & Maintenance Team,Closed,Replaced the faulty HDMI cable and cleaned the projector optics; where the lamp was beyond service hours the lamp module was replaced. Confirmed clear display.,2024-09-17 08:52,2024-09-18 20:15,No,HW-PROJECTOR,No,Hardware & Equipment,projector not working,dear ict it is missing i have tried on both my phone and laptop,projector not working projector not working dear ict it is missing i have tried on both my phone and laptop,Replaced the faulty HDMI cable and cleaned the projector optics; where the lamp was beyond service hours the lamp module was replaced. Confirmed clear display.,Hardware & Equipment,Hardware & Maintenance Team,3,1
MU-103337,Macihne freezing,It is not functioning in the staff room. my computer hangs when i open several programs since the semestre started. Kindly assist.,Hardware & Equipment,Performance,School of Science,ICT-HWM-03,Hardware & Maintenance Team,Closed,,2025-08-01 08:55,2025-08-12 05:22,Yes,HW-PC-SLOW,Yes,Hardware & Equipment,macihne freezing,it is not functioning in the staff room my computer hangs when i open several programs since the semestre started kindly assist,macihne freezing macihne freezing it is not functioning in the staff room my computer hangs when i open several programs since the semestre started kindly assist,,Hardware & Equipment,Hardware & Maintenance Team,3,1
MU-100214,eLearning access problem,It says my details are wrong and my emil password works but elearning does not accept it. i have tried several times. your assistance will be appreciated.,Learning Management System,Access,Human Resources,ICT-ELN-01,eLearning Support Unit,Closed,Confirmed the account existed on the LMS but was not synchronised with the directory; re-synchronised the user record and verified successful login. Advised the user to report any recurrence.,2024-09-12 18:04,2024-09-13 15:13,No,LMS-LOGIN,Yes,Learning Management System,elearning access problem,it says my details are wrong and my emil password works but elearning does not accept it i have tried several times your assistance will be appreciated,elearning access problem elearning access problem it says my details are wrong and my emil password works but elearning does not accept it i have tried several times your assistance will be appreciated,Confirmed the account existed on the LMS but was not synchronised with the directory; re-synchronised the user record and verified successful login. Advised the user to report any recurrence.,Learning Management System,eLearning Support Unit,4,6
MU-104695,Slow connection,It has stopped working in the administration block. browsing is very slow.,Network & Connectivity,Performance,School of Medicine,ICT-HWM-01,Hardware & Maintenance Team,Closed,"Investigated bandwidth utilisation on the department switch, identified a broadcast storm from a faulty device, isolated the port and normalised throughput.",2024-11-15 08:41,2024-11-16 02:24,No,NET-SLOW,Yes,Network & Connectivity,slow connection,it has stopped working in the administration block browsing is very slow,slow connection slow connection it has stopped working in the administration block browsing is very slow,"Investigated bandwidth utilisation on the department switch, identified a broadcast storm from a faulty device, isolated the port and normalised throughput.",Network & Connectivity,Hardware & Maintenance Team,5,1
MU-101663,NEW STAFF ACCOUNT,We need an accouunt opened. Thanks in advance.,Account & Access Management,New account,School of Law,ICT-SYS-01,Systems & Accounts Team,Closed,"Created the domain account and mailbox from the approved appointment letter, assigned the departmental security groups and issued credentials to the user.",2025-09-29 15:07,2025-09-29 20:04,No,ACC-NEW,No,Account & Access Management,new staff account,we need an accouunt opened thanks in advance,new staff account new staff account we need an accouunt opened thanks in advance,"Created the domain account and mailbox from the approved appointment letter, assigned the departmental security groups and issued credentials to the user.",Account & Access Management,Systems & Accounts Team,0,5
MU-100612,New user setup,We need an account opened and this is for a newly employed member of staff for the past two days.,Account & Access Management,New account,ICT Directorate,ICT-SYS-02,Systems & Accounts Team,Closed,"Created the domain account and mailbox from the approved appointment letter, assigned the departmental security groups and issued credentials to the user.",2024-11-29 11:19,2024-11-29 14:12,Yes,ACC-NEW,Yes,Account & Access Management,new user setup,we need an account opened and this is for a newly employed member of staff for the past two days,new user setup new user setup we need an account opened and this is for a newly employed member of staff for the past two days,"Created the domain account and mailbox from the approved appointment letter, assigned the departmental security groups and issued credentials to the user.",Account & Access Management,Systems & Accounts Team,0,5
MU-104856,Cnnot connect to wifi,"Dear ICT, It has stopped working.  the wifi shows but does not connect since friday.  Thanks in advance.",Network & Connectivity,Wi-Fi,School of Information Sciences,ICT-NET-03,Network Team,Closed,Reset the wireless access point serving the block and re-authenticated the user device on MU-WiFi. Confirmed connectivity restored.,2024-06-11 18:53,2024-06-12 02:30,No,NET-WIFI-NOCONN,Yes,Network & Connectivity,cnnot connect to wifi,dear ict it has stopped working the wifi shows but does not connect since friday thanks in advance,cnnot connect to wifi cnnot connect to wifi dear ict it has stopped working the wifi shows but does not connect since friday thanks in advance,Reset the wireless access point serving the block and re-authenticated the user device on MU-WiFi. Confirmed connectivity restored.,Network & Connectivity,Network Team,5,4
MU-103100,KINDLY RESET MY PASSWORD,I am locked out and i have forgotten my password. this is affecting my work.,Account & Access Management,Password reset,School of Medicine,ICT-SYS-01,Systems & Accounts Team,Closed,"Verified the requester's identity against staff/student records, reset the account password in Active Directory and issued a temporary password with a forced change at next logon.",2024-07-09 15:14,2024-07-09 17:32,Yes,ACC-PWD-RESET,Yes,Account & Access Management,kindly reset my password,i am locked out and i have forgotten my password this is affecting my work,kindly reset my password kindly reset my password i am locked out and i have forgotten my password this is affecting my work,"Verified the requester's identity against staff/student records, reset the account password in Active Directory and issued a temporary password with a forced change at next logon.",Account & Access Management,Systems & Accounts Team,0,5
MU-101010,MOSUE NOT RESPONDING,It is missing in the comp lab. the mouse pointer does not move at all since last week. i have already restared the machine. Kindly assist.,Hardware & Equipment,Peripherals,Human Resources,ICT-HWM-02,Hardware & Maintenance Team,Closed,Replaced the faulty peripheral from stores and confirmed detection and normal operation; for the UPS the battery pack was replaced and a load test performed.,2025-05-26 16:37,2025-05-28 08:33,No,HW-PERIPHERAL,Yes,Hardware & Equipment,mosue not responding,it is missing in the computer lab the mouse pointer does not move at all since last week i have already restared the machine kindly assist,mosue not responding mosue not responding it is missing in the computer lab the mouse pointer does not move at all since last week i have already restared the machine kindly assist,Replaced the faulty peripheral from stores and confirmed detection and normal operation; for the UPS the battery pack was replaced and a load test performed.,Hardware & Equipment,Hardware & Maintenance Team,3,1
MU-101183,Account diisabled,The system is not accepting my login in our department. i need my account unlocked. i have tried on both my phone and laptop. Thanks in advance.,Account & Access Management,Account lockout,School of Business and Economics,ICT-SYS-04,Systems & Accounts Team,Closed,"Confirmed the lockout source, cleared the lockout in Active Directory, unlocked the account and advised the user on clearing cached credentials on secondary devices.",2025-09-19 09:45,2025-09-19 10:36,No,ACC-LOCKED,Yes,Account & Access Management,account diisabled,the system is not accepting my login in our department i need my account unlocked i have tried on both my phone and laptop thanks in advance,account diisabled account diisabled the system is not accepting my login in our department i need my account unlocked i have tried on both my phone and laptop thanks in advance,"Confirmed the lockout source, cleared the lockout in Active Directory, unlocked the account and advised the user on clearing cached credentials on secondary devices.",Account & Access Management,Systems & Accounts Team,0,5
MU-104887,no network on desktop,"Hi, It does not detect anything and the cable shows unplugged in the staff room.",Network & Connectivity,LAN,University Library,ICT-NET-02,Network Team,Resolved,"Traced the wall port to the patch panel, re-terminated the faulty jack and re-patched to an active switch port. Link confirmed at 1Gbps.",2024-11-17 11:22,2024-11-18 10:36,No,NET-LAN-PORT,Yes,Network & Connectivity,no network on desktop,hi it does not detect anything and the cable shows unplugged in the staff room,no network on desktop no network on desktop hi it does not detect anything and the cable shows unplugged in the staff room,"Traced the wall port to the patch panel, re-terminated the faulty jack and re-patched to an active switch port. Link confirmed at 1Gbps.",Network & Connectivity,Network Team,5,4
MU-102556,Forgot password,-,Account & Access Management,Password reset,School of Business and Economics,ICT-SYS-01,Systems & Accounts Team,In Progress,,2024-05-10 18:38,,No,ACC-PWD-RESET,No,Account & Access Management,forgot password,,forgot password forgot password,,Account & Access Management,Systems & Accounts Team,0,5
MU-104469,Finance system problem,I am unable to log in. the procurement system will not open on my machine. the deadline is today. Regards.,Application Support,ERP / Finance system,ICT Directorate,ICT-APP-01,Applications Support Team,Closed,"Cleared the corrupted local client cache, updated the ERP client to the current build and re-established the database connection profile. Confirmed normal operation.",2024-08-04 07:32,2024-08-07 12:45,No,APP-ERP,Yes,Application Support,finance system problem,i am unable to log in the procurement system will not open on my machine the deadline is today regards,finance system problem finance system problem i am unable to log in the procurement system will not open on my machine the deadline is today regards,"Cleared the corrupted local client cache, updated the ERP client to the current build and re-established the database connection profile. Confirmed normal operation.",Application Support,Applications Support Team,1,0
MU-100903,Request for support,"Greetings, I keep getting invalid credentials since last week. my colleague is not having the same problem. please help. Kindly assist urgently.",Network & Connectivity,VPN / Remote access,School of Education,ICT-NET-03,Network Team,Closed,"Re-issued the VPN profile, confirmed the account was in the remote-access group and verified successful tunnel establishment from an external network.",2025-10-11 10:03,2025-10-12 03:55,No,NET-VPN,No,Network & Connectivity,request for support,greetings i keep getting invalid credentials since last week my colleague is not having the same problem please help kindly assist urgently,request for support request for support greetings i keep getting invalid credentials since last week my colleague is not having the same problem please help kindly assist urgently,"Re-issued the VPN profile, confirmed the account was in the remote-access group and verified successful tunnel establishment from an external network.",Network & Connectivity,Network Team,5,4
